,Unnamed: 0,artistName,trackName,msPlayed,artist_genres,Track Play Count
322,468,A$AP Rocky,LVL,220133,"['east coast hip hop', 'hip hop', 'rap', 'trap']",84.0
732,1679,Unknown Artist,Unknown Track,16314,[],71.0
1429,4654,Dave,Sprinter,112200,"['jam band', 'neo mellow', 'pop rock']",59.0
183,242,Kid Cudi,Just What I Am,200511,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",59.0
669,1406,Lil Wayne,Let It All Work Out,316192,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",57.0
595,1048,Peter Bjorn and John,Young Folks,276693,"['alternative dance', 'baroque pop', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'swedish alternative rock', 'swedish indie pop']",55.0
2375,8419,Isaiah Rashad,West Savannah (feat. SZA),167276,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",54.0
441,678,MGMT,Kids,302840,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",51.0
15,17,Wolfgang Amadeus Mozart,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",284000,"['classical', 'classical era']",51.0
185,245,Pixies,Where Is My Mind? - Remastered,234973,"['alternative rock', 'boston rock', 'permanent wave', 'rock']",49.0
193,255,Kid Cudi,Pursuit Of Happiness (Nightmare),295293,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",48.0
2004,7256,Empire of the Sun,We Are The People,267373,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",47.0
567,976,Playboi Carti,Yah Mean,165642,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",46.0
2542,9287,Radiohead,Creep,118698,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",46.0
52,57,Young Thug,High (feat. Elton John),195160,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",45.0
1666,5681,Key Glock,Die Trying,2763,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",45.0
222,306,Frank Ocean,Nikes,314075,"['lgbtq+ hip hop', 'neo soul']",45.0
225,313,Childish Gambino,3005,234215,"['atl hip hop', 'hip hop', 'rap']",45.0
324,472,Mac Miller,BDE Bonus,169322,"['hip hop', 'pittsburgh rap', 'rap']",44.0
243,332,Kanye West,Runaway,125945,"['chicago rap', 'hip hop', 'rap']",44.0
1896,6784,Lil Wayne,Blunt Blowin,312960,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",44.0
325,473,MGMT,Time to Pretend,172010,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",43.0
237,326,Meek Mill,Dreams and Nightmares,230693,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",43.0
1182,3604,Rihanna,Loveeeeeee Song,256320,"['barbadian pop', 'pop', 'urban contemporary']",43.0
1517,5021,D.O.D,Sleepless,185730,"['electro house', 'house', 'pop dance', 'uk dance']",43.0
1129,3442,Key Glock,Russian Cream,142497,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",43.0
2109,7639,Tory Lanez,Hurts Me,137117,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",42.0
424,650,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",233786,"['east coast hip hop', 'hip hop', 'rap', 'trap']",40.0
1172,3560,Calvin Harris,Sweet Nothing (feat. Florence Welch),212560,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",40.0
201,274,Mac Miller,Weekend (feat. Miguel),2461,"['hip hop', 'pittsburgh rap', 'rap']",40.0
2211,7873,Travis Scott,MY EYES,251249,"['hip hop', 'rap', 'slap house']",40.0
264,366,Gucci Mane,Lemonade,156778,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",40.0
208,282,Drake,IMY2 (with Kid Cudi),252379,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",40.0
381,583,A$AP Rocky,Jukebox Joints (feat. Joe Fox & Kanye West),323960,"['east coast hip hop', 'hip hop', 'rap', 'trap']",39.0
1177,3583,Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,206053,"['art pop', 'pop']",39.0
1101,3302,Key Glock,Chromosomes,151080,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",38.0
564,972,Destroy Lonely,NOSTYLIST,176309,['rage rap'],38.0
210,284,Young Thug,Digits,176386,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",38.0
446,690,Lil Wayne,She Will,305840,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",38.0
1777,6229,Pinegrove,Need 2,191796,"['countrygaze', 'new jersey indie', 'small room']",38.0
140,158,Kendrick Lamar,PRIDE.,275253,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",37.0
1150,3506,Kanye West,Devil In A New Dress,351946,"['chicago rap', 'hip hop', 'rap']",37.0
2555,9371,The Police,Roxanne,88816,"['album rock', 'classic rock', 'permanent wave', 'rock']",37.0
444,684,Lil Wayne,Mess,212427,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",36.0
1067,3031,Empire of the Sun,Alive,164352,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",35.0
983,2812,Future,The Percocet & Stripper Joint,148453,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",35.0
209,283,Mac Miller,Someone Like You,256424,"['hip hop', 'pittsburgh rap', 'rap']",35.0
977,2748,Cherub,Doses & Mimosas,182950,[],35.0
1021,2944,Drake,Girls Want Girls (with Lil Baby),221979,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",34.0
392,600,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),221746,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",34.0
154,175,Kanye West,Father Stretch My Hands Pt. 1,22464,"['chicago rap', 'hip hop', 'rap']",34.0
187,247,Foo Fighters,Everlong,239072,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",34.0
2053,7324,Empire of the Sun,Half Mast,234360,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",34.0
206,280,Outkast,Ms. Jackson,270507,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",34.0
143,161,Joey Bada$$,DEVASTATED,207058,"['conscious hip hop', 'hip hop', 'rap']",34.0
204,278,Chance the Rapper,Cocoa Butter Kisses,307187,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",33.0
142,160,Kendrick Lamar,LUST.,58962,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",33.0
99,113,ScHoolboy Q,Studio,449686,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",33.0
515,840,Travis Scott,sdp interlude,191622,"['hip hop', 'rap', 'slap house']",33.0
615,1102,Baby Keem,HONEST,29508,"['hip hop', 'rap']",33.0
1093,3203,David Bowie,Heroes - 2017 Remaster,371413,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",33.0
261,363,Mac Miller,Nikes on My Feet,148735,"['hip hop', 'pittsburgh rap', 'rap']",33.0
390,597,A$AP Rocky,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",91903,"['east coast hip hop', 'hip hop', 'rap', 'trap']",33.0
1240,3751,Blur,Song 2 - 2012 Remaster,7105,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",33.0
257,358,Kid Cudi,Day 'N' Nite (nightmare),124976,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",33.0
1662,5663,JAY-Z,4:44,9891,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",33.0
195,258,Mac Miller,Thoughts from a Balcony,185779,"['hip hop', 'pittsburgh rap', 'rap']",33.0
445,687,Desire,Under Your Spell,296015,['rage rap'],33.0
917,2323,Kanye West,Ghost Town,216729,"['chicago rap', 'hip hop', 'rap']",32.0
1661,5656,Childish Gambino,Les,317293,"['atl hip hop', 'hip hop', 'rap']",32.0
335,488,A$AP Rocky,Sundress,158205,"['east coast hip hop', 'hip hop', 'rap', 'trap']",32.0
2005,7270,Lorde,Supercut,1664,"['art pop', 'metropopolis', 'nz pop', 'pop']",31.0
226,314,Kendrick Lamar,Swimming Pools (Drank),247800,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",31.0
3724,13447,Joey Bada$$,Righteous Minds,224042,"['conscious hip hop', 'hip hop', 'rap']",31.0
521,854,A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),126960,"['east coast hip hop', 'hip hop', 'rap', 'trap']",31.0
1338,4414,Future,Solo,265996,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",30.0
1301,4245,Calvin Harris,Thinking About You (feat. Ayah Marar),130517,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",30.0
1026,2957,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),176702,['alternative r&b'],30.0
916,2321,Frank Ocean,In My Room,53190,"['lgbtq+ hip hop', 'neo soul']",30.0
721,1614,Drake,Spin Bout U,214588,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",30.0
3063,11019,Metro Boomin,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),189426,"['hip hop', 'rap']",30.0
376,575,Frank Ocean,Nights,307151,"['lgbtq+ hip hop', 'neo soul']",30.0
62,68,YoungBoy Never Broke Again,Untouchable,180705,"['baton rouge rap', 'rap']",30.0
1502,4960,Eliza Rose,B.O.T.A. (Baddest Of Them All) - Edit,226626,['house'],30.0
699,1526,YoungBoy Never Broke Again,Make No Sense,148629,"['baton rouge rap', 'rap']",29.0
2446,8787,Lorde,Ribs,258969,"['art pop', 'metropopolis', 'nz pop', 'pop']",29.0
1043,2983,Central Cee,LET GO,170346,"['melodic drill', 'r&drill']",29.0
1932,6920,Lil Wayne,So Special,129910,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",29.0
173,206,Erik Satie,Gymnopédie No. 1,205866,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",29.0
245,334,Kanye West,Waves,1642,"['chicago rap', 'hip hop', 'rap']",29.0
189,251,Frank Ocean,Biking,277520,"['lgbtq+ hip hop', 'neo soul']",29.0
2397,8509,Steve Lacy,C U Girl,87399,['afrofuturism'],29.0
3066,11024,Kodak Black,"If I'm Lyin', I'm Flyin'",130929,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",29.0
462,730,Empire of the Sun,Walking On A Dream,198440,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",29.0
522,858,Kendrick Lamar,A.D.H.D,215509,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",29.0
468,740,Calvin Harris,Summer,179188,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",29.0
207,281,Future,Codeine Crazy,265913,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",29.0
4561,18430,Nirvana,About A Girl,168428,"['grunge', 'permanent wave', 'rock']",29.0
290,404,A$AP Rocky,Get Lit (feat. Fat Tony),7615,"['east coast hip hop', 'hip hop', 'rap', 'trap']",28.0
2158,7779,U2,Sunday Bloody Sunday - Remastered 2008,270628,"['irish rock', 'permanent wave', 'rock']",28.0
3930,14827,J. Cole,Love Yourz,211496,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",28.0
244,333,Future,Low Life (feat. The Weeknd),448,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",28.0
619,1117,A$AP Rocky,Kids Turned Out Fine,183120,"['east coast hip hop', 'hip hop', 'rap', 'trap']",28.0
2532,9228,A$AP Rocky,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),190285,"['east coast hip hop', 'hip hop', 'rap', 'trap']",28.0
1463,4747,Baby Keem,The Hillbillies,204800,"['hip hop', 'rap']",28.0
58,63,Baby Keem,ORANGE SODA,119803,"['hip hop', 'rap']",28.0
337,490,Ice Cube,It Was A Good Day,260000,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",27.0
236,325,Kanye West,Saint Pablo,234614,"['chicago rap', 'hip hop', 'rap']",27.0
899,2239,Trippie Redd,Hate Me,144770,"['melodic rap', 'rap', 'trap']",27.0
359,534,Young Thug,With Them,105650,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",27.0
1035,2967,Drake,Childs Play,61098,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",27.0
110,126,Erik Satie,"Mercure, Scene 1: La nuit",73826,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",27.0
55,60,Lil Baby,Freestyle,162053,"['atl hip hop', 'atl trap', 'rap', 'trap']",27.0
212,289,ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky),142429,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",26.0
426,653,A$AP Rocky,Fashion Killa,236280,"['east coast hip hop', 'hip hop', 'rap', 'trap']",26.0
168,190,"Tyler, The Creator",See You Again (feat. Kali Uchis),21714,"['hip hop', 'rap']",26.0
94,108,Tom Ashbrook,Solitude I,229606,['neo-classical'],26.0
4163,16672,Drake,You Broke My Heart,179165,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",26.0
1968,7060,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),121572,"['hip hop', 'rap']",26.0
380,580,Frank Ocean,White Ferrari,73540,"['lgbtq+ hip hop', 'neo soul']",26.0
391,598,Lil Baby,Life Goes On,177005,"['atl hip hop', 'atl trap', 'rap', 'trap']",26.0
395,606,Childish Gambino,Sober,11493,"['atl hip hop', 'hip hop', 'rap']",26.0
1488,4930,Jaish,East Side,16300,[],26.0
3779,13815,Lana Del Rey,National Anthem,230520,"['art pop', 'pop']",26.0
1428,4653,Dave,UK Rap,41724,"['jam band', 'neo mellow', 'pop rock']",26.0
723,1629,Kid Cudi,Soundtrack 2 My Life,19020,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",26.0
349,512,Baby Keem,family ties (with Kendrick Lamar),252069,"['hip hop', 'rap']",26.0
3967,15218,Brent Faiyaz,Outside All Night (feat. A$AP Rocky & N3WYRKLA),202841,"['r&b', 'rap']",26.0
228,317,Playboi Carti,Control,197789,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",26.0
4191,16876,Green Day,Brain Stew,193000,"['modern rock', 'permanent wave', 'punk', 'rock']",26.0
1476,4905,LF SYSTEM,Afraid To Feel,177524,['uk dance'],25.0
248,338,A$AP Rocky,Purple Swag,111283,"['east coast hip hop', 'hip hop', 'rap', 'trap']",25.0
421,646,A$AP Rocky,PMW (All I Really Need) (feat. ScHoolboy Q),234773,"['east coast hip hop', 'hip hop', 'rap', 'trap']",25.0
2531,9219,Kodak Black,Transportin',149582,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",25.0
38,41,Kanye West,All Of The Lights,299613,"['chicago rap', 'hip hop', 'rap']",25.0
2215,7877,Travis Scott,FE!N (feat. Playboi Carti),191700,"['hip hop', 'rap', 'slap house']",25.0
534,901,Gabriel Fauré,"Après un rêve, Op. 7, No. 1",160226,"['classical', 'post-romantic era']",25.0
892,2215,Mac Miller,Ayye,165910,"['hip hop', 'pittsburgh rap', 'rap']",25.0
1577,5292,Fred again..,Danielle (smile on my face),4416,"['edm', 'house', 'stutter house']",25.0
880,2180,Drake,Too Much,8870,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",25.0
2306,8174,T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),239413,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",25.0
4067,15730,PinkPantheress,Nice to meet you (feat. Central Cee),159189,['bedroom pop'],25.0
495,799,Frank Ocean,Pyramids,79834,"['lgbtq+ hip hop', 'neo soul']",25.0
1966,7056,YoungBoy Never Broke Again,Outside Today,126246,"['baton rouge rap', 'rap']",25.0
277,388,Kid Cudi,Cudi Zone,149606,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",25.0
2670,10069,Ken Carson,Yale,106536,['rage rap'],25.0
97,111,Ennio Morricone,"Gabriel's Oboe (From ""The Mission"")",222400,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'vintage italian soundtrack']",25.0
341,499,Edvard Grieg,"Lyric Pieces, Book 5, Op. 54: Nocturne",220773,"['classical', 'late romantic era', 'norwegian classical']",25.0
3737,13520,Grizzly Bear,Two Weeks,177804,"['art pop', 'baroque pop', 'brooklyn indie', 'indie rock', 'neo-synthpop', 'new weird america']",24.0
89,103,Edvard Grieg,"Pièces Lyriques, Op. 47 No. 3: Mélodie",256360,"['classical', 'late romantic era', 'norwegian classical']",24.0
251,348,Mac Miller,Love Lost,127266,"['hip hop', 'pittsburgh rap', 'rap']",24.0
1513,4980,Sosa UK,Your Love,101887,['tech house'],24.0
3559,12573,The Verve,Bitter Sweet Symphony - Remastered 2016,341542,"['britpop', 'permanent wave', 'rock', 'shoegaze']",24.0
2151,7764,Drake,On The Radar Freestyle,266890,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",24.0
3606,12748,Drake,Fancy,278918,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",24.0
318,463,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",282935,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",24.0
929,2388,Playboi Carti,Location,167369,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",24.0
215,293,A$AP Rocky,Hun43rd,225506,"['east coast hip hop', 'hip hop', 'rap', 'trap']",24.0
531,874,Jacob Mühlrad,In Retrospect,127786,['swedish contemporary classical'],24.0
514,839,Travis Scott,Apple Pie,36154,"['hip hop', 'rap', 'slap house']",24.0
2294,8155,Three 6 Mafia,Poppin' My Collar (feat. Project Pat),176880,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",24.0
104,119,Ludwig van Beethoven,"Violin Concerto in D Major, Op. 61: II. Larghetto",486000,"['classical', 'classical era', 'early romantic era', 'german romanticism']",24.0
188,250,Kanye West,I Wonder,243440,"['chicago rap', 'hip hop', 'rap']",24.0
683,1474,ScHoolboy Q,CrasH,161480,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",24.0
289,403,A$AP Rocky,Peso,169560,"['east coast hip hop', 'hip hop', 'rap', 'trap']",24.0
79,93,Ottorino Respighi,"Bach - 3 chorales, P. 167: No. 3. Andante (after J.S. Bach's Wachet auf ruft uns die Stimme, BWV 645)",308440,"['classical', 'early modern classical', 'impressionism', 'italian romanticism', 'neoclassicism', 'post-romantic era']",24.0
691,1485,Common,The Food,216866,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']",24.0
59,64,blink-182,What's My Age Again?,148360,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",23.0
725,1637,Joey Bada$$,Love Is Only a Feeling,42526,"['conscious hip hop', 'hip hop', 'rap']",23.0
121,138,Wolfgang Amadeus Mozart,"Clarinet Concerto in A Major, K. 622: II. Adagio",564287,"['classical', 'classical era']",23.0
116,133,Camille Saint-Saëns,Carnival of the Animals: The Swan,150146,"['classical', 'french romanticism', 'late romantic era']",23.0
562,963,Manuel de Falla,Siete canciones populares españolas: No. 5 Nana,157133,"['classical', 'early modern classical', 'impressionism', 'neoclassicism', 'post-romantic era', 'spanish classical']",23.0
651,1181,Steve Lacy,Bad Habit,232066,['afrofuturism'],23.0
1496,4947,Drake,Massive,336924,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",23.0
965,2665,Tay-K,The Race,23306,"['cali rap', 'dfw rap', 'rap', 'trap']",23.0
80,94,Claude Debussy,"Suite bergamasque, L. 75: III. Clair de lune",294960,"['classical', 'impressionism', 'post-romantic era']",23.0
119,136,Traditional,Scarborough Fair (Arr. Parkin for Cello and Guitar),194533,"['gregorian chant', 'hengelliset laulut', 'puirt-a-beul']",23.0
650,1177,A$AP Rocky,L$D,238306,"['east coast hip hop', 'hip hop', 'rap', 'trap']",23.0
1852,6619,Lil Wayne,Mrs. Officer,286906,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",23.0
83,97,Joep Beving,Midwayer,345800,"['compositional ambient', 'neo-classical']",23.0
2702,10207,Young Thug,Oh U Went (feat. Drake),185333,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",23.0
4133,16317,Brent Faiyaz,JACKIE BROWN,163552,"['r&b', 'rap']",23.0
3359,11714,Key Glock,Word on the Streets,207600,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",23.0
316,461,ScHoolboy Q,Man Of The Year,197810,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",23.0
3795,13927,J. Cole,Neighbors,122041,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",23.0
214,292,Drake,HYFR (Hell Ya Fucking Right),206626,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",23.0
105,121,Claude Debussy,"2 Arabesques, L. 66: No. 1 in E Major",273413,"['classical', 'impressionism', 'post-romantic era']",23.0
459,723,Mac Miller,What's the Use?,288640,"['hip hop', 'pittsburgh rap', 'rap']",22.0
107,123,Philip Glass,Glassworks: Opening,221111,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",22.0
351,514,Playboi Carti,Shoota (feat. Lil Uzi Vert),153800,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",22.0
2524,9061,Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),202040,"['hip hop', 'pop rap', 'rap']",22.0
148,166,blink-182,I Miss You,227240,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",22.0
73,83,Johann Pachelbel,Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,301586,"['baroque', 'classical', 'german baroque']",22.0
739,1694,A$AP Mob,"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",207857,"['hip hop', 'rap', 'southern hip hop', 'trap']",22.0
1131,3446,Key Glock,Mr. Glock,142431,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",22.0
280,392,50 Cent,21 Questions,167042,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",22.0
602,1066,Lorde,Perfect Places,108695,"['art pop', 'metropopolis', 'nz pop', 'pop']",22.0
123,140,Johannes Brahms,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",378733,"['classical', 'german romanticism', 'late romantic era']",22.0
738,1690,Travis Scott,SKELETONS,145588,"['hip hop', 'rap', 'slap house']",22.0
676,1454,Gorillaz,Feel Good Inc.,214753,"['alternative hip hop', 'modern rock', 'rock']",22.0
93,107,Ignaz Friedman,"Orfeo ed Euridice, Act II: Dance of the Blessed Spirits, ""Mélodie"" (arr. I. Friedman for piano)",251733,['historic piano performance'],22.0
621,1122,A$AP Rocky,Purity (feat. Frank Ocean),255427,"['east coast hip hop', 'hip hop', 'rap', 'trap']",22.0
249,340,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),5593,"['east coast hip hop', 'hip hop', 'rap', 'trap']",22.0
1149,3500,Calvin Harris,This Is What You Came For,189290,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",22.0
1569,5169,Diplo,Don't Forget My Love,199090,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",22.0
753,1746,Kendrick Lamar,Money Trees,369410,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",21.0
778,1883,Lil Wayne,Twist Made Me,148610,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",21.0
342,504,Franz Schubert,Die Nacht (Arr. for Cello and Guitar by Anja Lechner and Pablo Márquez),143266,"['classical', 'classical era', 'early romantic era']",21.0
336,489,Wiz Khalifa,The Race,335613,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",21.0
589,1042,Outkast,Da Art of Storytellin' (Pt. 1),222653,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",21.0
369,568,Frank Ocean,Ivy,249191,"['lgbtq+ hip hop', 'neo soul']",21.0
724,1631,Wiz Khalifa,So High (feat. Ghost Loft),173025,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",21.0
533,897,Florence Beatrice Price,Adoration (Arr. for Cello & Orchestra by Julian Riem),199573,"['african-american classical', 'american modern classical', 'american romanticism']",21.0
489,785,Daigo Hanada,Muku,194000,"['compositional ambient', 'focus', 'japanese piano', 'neo-classical']",21.0
1525,5033,Fred again..,Delilah (pull me out of this),41261,"['edm', 'house', 'stutter house']",21.0
1328,4350,Metro Boomin,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",245240,"['hip hop', 'rap']",21.0
49,53,Kanye West,Gorgeous,357653,"['chicago rap', 'hip hop', 'rap']",21.0
1397,4576,Jay Rock,Hood Gone Love It (feat. Kendrick Lamar),245466,"['conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",21.0
1511,4978,Disco Lines,Baby Girl,111074,['stutter house'],21.0
1642,5548,Drake,Jimmy Cooks (feat. 21 Savage),218364,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",21.0
133,150,Tigran Hamasyan,Tsirani Tsar,34679,"['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano']",21.0
1135,3456,Florence + The Machine,Dog Days Are Over,74303,"['baroque pop', 'electropop', 'modern rock', 'neo mellow', 'uk alternative pop']",21.0
1113,3396,Lil Wayne,Love Me,255053,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",21.0
190,252,Baby Keem,lost souls (with Brent Faiyaz),269727,"['hip hop', 'rap']",21.0
1004,2860,Chance the Rapper,Prom Night,324603,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",21.0
1427,4652,Dave,Trojan Horse,248866,"['jam band', 'neo mellow', 'pop rock']",21.0
1089,3177,Kid Cudi,Marijuana,260200,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",21.0
117,134,Valentin Silvestrov,Naive Music: No. 2. Nocturne,155586,"['ukrainian classical', 'ukrainian classical piano', 'ukrainian contemporary classical']",20.0
242,331,The Game,Hate It Or Love It,1130,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",20.0
1214,3657,Alice Deejay,Better Off Alone,214883,['eurodance'],20.0
211,288,Mac Miller,Dang! (feat. Anderson .Paak),305350,"['hip hop', 'pittsburgh rap', 'rap']",20.0
