,Unnamed: 0,artistName,trackName,msPlayed,artist_genres,Track Play Count
3766,13710,Baby Keem,SLICE INTERLUDE,64288,"['hip hop', 'rap']",1.0
5140,22590,"Tyler, The Creator",SORRY NOT SORRY,11039,"['hip hop', 'rap']",1.0
3765,13709,Baby Keem,MOSHPIT,176353,"['hip hop', 'rap']",1.0
3764,13708,Baby Keem,BULLIES,194232,"['hip hop', 'rap']",1.0
3763,13707,Baby Keem,FRANCE FREESTYLE,145792,"['hip hop', 'rap']",1.0
3762,13647,flipturn,Sad Disco,12018,"['jacksonville indie', 'pov: indie']",1.0
3761,13642,The Notorious B.I.G.,Hypnotize - 2014 Remaster,16555,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1.0
3760,13635,Gmac Cash,Montgomery Brawl,21248,[],1.0
3759,13607,Travis Scott,Never Catch Me,176160,"['hip hop', 'rap', 'slap house']",1.0
3745,13584,Drake,7969 Santa,259847,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",1.0
4342,17586,Jack Harlow,Tyler Herro,18170,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",1.0
3757,13604,Travis Scott,I Can Tell,235533,"['hip hop', 'rap', 'slap house']",1.0
4343,17588,Jack Harlow,Ambitious,101260,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",1.0
3756,13603,Travis Scott,Flying High (feat. Toro y Moi),208626,"['hip hop', 'rap', 'slap house']",1.0
3755,13601,Travis Scott,Impossible,242506,"['hip hop', 'rap', 'slap house']",1.0
3754,13599,Travis Scott,Piss On Your Grave (feat. Kanye West),166320,"['hip hop', 'rap', 'slap house']",1.0
3753,13597,Travis Scott,Pray 4 Love (feat. The Weeknd),307000,"['hip hop', 'rap', 'slap house']",1.0
3752,13595,Travis Scott,Wasted (feat. Juicy J),235680,"['hip hop', 'rap', 'slap house']",1.0
4344,17589,Jack Harlow,Lovin On Me - Instrumental,28839,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",1.0
3749,13589,Drake,Drew A Picasso,151848,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",1.0
3748,13588,Drake,Screw The World - Interlude,112093,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",1.0
