,endTime,artistName,trackName,msPlayed,artist_genres
18085,2023-12-07 01:13,Interpol,All the Rage Back Home,107810,"['alternative dance', 'alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
18086,2023-12-07 01:17,Radiohead,Creep,835,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
18087,2023-12-07 01:17,Pinegrove,Sunday,246340,"['countrygaze', 'new jersey indie', 'small room']"
18088,2023-12-07 01:17,Radiohead,No Surprises,8568,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
18089,2023-12-07 01:19,Radiohead,Karma Police,93808,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
18090,2023-12-07 01:22,Radiohead,Creep,192563,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
18091,2023-12-07 01:26,Radiohead,High and Dry,257480,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
18092,2023-12-07 01:27,Radiohead,Jigsaw Falling Into Place,10326,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
18093,2023-12-07 01:29,Radiohead,Codex,15789,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
18094,2023-12-07 01:29,Radiohead,No Surprises,144033,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
18095,2023-12-07 01:33,Red Hot Chili Peppers,Californication,197787,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
