,endTime,artistName,trackName,msPlayed,artist_genres
18316,2023-12-09 23:07,Red Hot Chili Peppers,Scar Tissue,215906,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
18317,2023-12-09 23:14,The Smiths,How Soon Is Now? - 2011 Remaster,408173,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']"
18318,2023-12-09 23:17,Kings of Leon,Sex on Fire,203346,"['modern rock', 'rock']"
18319,2023-12-09 23:46,David Gray,This Year's Love,245533,"['irish rock', 'neo mellow', 'permanent wave']"
18320,2023-12-10 00:06,Coldplay,Don't Panic,11693,"['permanent wave', 'pop']"
18321,2023-12-10 00:18,The Verve,Bitter Sweet Symphony - Remastered 2016,297542,"['britpop', 'permanent wave', 'rock', 'shoegaze']"
18322,2023-12-10 00:23,David Bowie,Starman - 2012 Remaster,254293,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
18323,2023-12-10 00:27,Pixies,Where Is My Mind? - Remastered,234973,"['alternative rock', 'boston rock', 'permanent wave', 'rock']"
18324,2023-12-10 00:31,MGMT,Time to Pretend,261000,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
18325,2023-12-10 00:32,Peter Bjorn and John,Young Folks,53245,"['alternative dance', 'baroque pop', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'swedish alternative rock', 'swedish indie pop']"
18326,2023-12-10 00:38,The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition,378146,"['album rock', 'british invasion', 'classic rock', 'rock']"
18327,2023-12-10 00:43,David Bowie,Heroes - 2017 Remaster,7161,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
18328,2023-12-10 00:43,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",281613,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
18329,2023-12-10 02:27,David Bowie,Starman - 2012 Remaster,3417,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
18330,2023-12-10 02:27,Pixies,Where Is My Mind? - Remastered,882,"['alternative rock', 'boston rock', 'permanent wave', 'rock']"
18331,2023-12-10 02:27,MGMT,Time to Pretend,1044,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
18332,2023-12-10 02:27,The Smashing Pumpkins,1979 - Remastered 2012,266200,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']"
18333,2023-12-10 02:27,Green Day,Brain Stew,789,"['modern rock', 'permanent wave', 'punk', 'rock']"
18334,2023-12-10 02:27,Red Hot Chili Peppers,Under the Bridge,441,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
18335,2023-12-10 02:30,Green Day,Brain Stew,193000,"['modern rock', 'permanent wave', 'punk', 'rock']"
18336,2023-12-10 02:34,Red Hot Chili Peppers,Under the Bridge,264306,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
18337,2023-12-10 02:39,Fleetwood Mac,The Chain - 2004 Remaster,270213,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']"
