,artistName,trackName,msPlayed,artist_genres
13497,Coez,Era già scritto,118254,"['italian adult pop', 'italian pop', 'rap napoletano', 'rome indie']"
13498,The Clash,Lost in the Supermarket - Remastered,226946,"['alternative rock', 'permanent wave', 'punk', 'rock']"
13499,Empire of the Sun,Half Mast,234360,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']"
13500,Thundercat,Funny Thing,116630,"['afrofuturism', 'indie soul']"
13501,MGMT,Kids,302840,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
13502,Steve Lacy,Bad Habit,232066,['afrofuturism']
13503,Lorde,Perfect Places,221874,"['art pop', 'metropopolis', 'nz pop', 'pop']"
13504,Matt and Kim,Daylight,171333,"['brooklyn indie', 'indietronica', 'modern rock', 'shimmer pop']"
13505,Peter Bjorn and John,Young Folks,276693,"['alternative dance', 'baroque pop', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'swedish alternative rock', 'swedish indie pop']"
13506,Catfish and the Bottlemen,Kathleen,160886,"['modern alternative rock', 'modern rock', 'stomp pop', 'welsh rock']"
13507,Two Door Cinema Club,This Is the Life,210733,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']"
13508,Chromatics,Cherry,271952,"['alternative dance', 'art pop', 'chillwave', 'dream pop', 'electronica', 'indietronica', 'modern dream pop', 'neo-synthpop']"
13509,Lorde,Supercut,277506,"['art pop', 'metropopolis', 'nz pop', 'pop']"
13510,Gorillaz,Feel Good Inc.,222640,"['alternative hip hop', 'modern rock', 'rock']"
13511,The Backseat Lovers,Pool House,269411,"['pov: indie', 'slc indie']"
13512,Steve Lacy,C U Girl,129697,['afrofuturism']
13513,Arctic Monkeys,From The Ritz To The Rubble,193426,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
13514,Tame Impala,Eventually,318591,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']"
13515,Last Dinosaurs,Eleven,206951,['australian indie']
13516,M.A.G.S.,Drugs,134899,['buffalo ny indie']
13517,Spacey Jane,Head Cold,187200,"['australian indie rock', 'australian surf rock', 'fremantle indie', 'perth indie']"
13518,Goth Babe,Weekend Friend,209454,"['indie rock', 'pov: indie']"
13519,Declan McKenna,Brazil,252306,['pov: indie']
13520,Grizzly Bear,Two Weeks,177804,"['art pop', 'baroque pop', 'brooklyn indie', 'indie rock', 'neo-synthpop', 'new weird america']"
13521,Blur,Song 2 - 2012 Remaster,121160,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']"
13522,PawPaw Rod,HIT EM WHERE IT HURTS,165499,['indie r&b']
13523,Two Door Cinema Club,Undercover Martyn,167773,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']"
13524,MGMT,Time to Pretend,230723,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
13525,Lorde,Perfect Places,221874,"['art pop', 'metropopolis', 'nz pop', 'pop']"
13526,The Kooks,Naive,203506,"['brighton indie', 'garage rock', 'modern rock', 'rock']"
13527,MGMT,Electric Feel,229640,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
13528,Steve Lacy,Dark Red,52001,['afrofuturism']
13529,Goth Babe,Weekend Friend,209454,"['indie rock', 'pov: indie']"
13530,Hotel Ugly,Shut up My Moms Calling,162077,['modern indie pop']
13531,Tame Impala,Eventually,289002,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']"
13532,The Backseat Lovers,Pool House,125674,"['pov: indie', 'slc indie']"
13533,Empire of the Sun,We Are The People,228800,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']"
13534,Calvin Harris,Thinking About You (feat. Ayah Marar),232938,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
13535,Kendrick Lamar,untitled 02 | 06.23.2014.,69056,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13536,Mac Miller,Self Care,397,"['hip hop', 'pittsburgh rap', 'rap']"
13537,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),176702,['alternative r&b']
13538,Kodak Black,Shake Back,100906,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
13539,Kodak Black,Shake Back,82654,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
13540,Kodak Black,Transportin',169344,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
13541,Future,The Percocet & Stripper Joint,148453,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
13542,Mac Miller,Self Care,269011,"['hip hop', 'pittsburgh rap', 'rap']"
13543,JAY-Z,4:44,61510,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
13544,JAY-Z,4:44,151637,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
13545,Mac Miller,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",981,"['hip hop', 'pittsburgh rap', 'rap']"
13546,Kodak Black,Transportin',140394,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
13547,Lil Wayne,Love Me,255053,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
13548,Mac Miller,Ayye,0,"['hip hop', 'pittsburgh rap', 'rap']"
13549,Mac Miller,Thoughts from a Balcony,185779,"['hip hop', 'pittsburgh rap', 'rap']"
13550,Frank Ocean,Pyramids,148671,"['lgbtq+ hip hop', 'neo soul']"
13551,Frank Ocean,Pyramids,14001,"['lgbtq+ hip hop', 'neo soul']"
13552,Grizzly Bear,Two Weeks,246213,"['art pop', 'baroque pop', 'brooklyn indie', 'indie rock', 'neo-synthpop', 'new weird america']"
13553,Dominic Fike,Wurli,3250,"['alternative pop rock', 'pov: indie']"
13554,Last Dinosaurs,Eleven,32599,['australian indie']
13555,Briston Maroney,Freakin' Out On the Interstate,57152,"['nashville indie', 'pov: indie']"
13556,Briston Maroney,Freakin' Out On the Interstate,195085,"['nashville indie', 'pov: indie']"
13557,The Kooks,Naive,6388,"['brighton indie', 'garage rock', 'modern rock', 'rock']"
13558,Peter Bjorn and John,Young Folks,276693,"['alternative dance', 'baroque pop', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'swedish alternative rock', 'swedish indie pop']"
13559,Two Door Cinema Club,Undercover Martyn,167773,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']"
13560,Declan McKenna,Brazil,252306,['pov: indie']
13561,Gorillaz,Feel Good Inc.,222640,"['alternative hip hop', 'modern rock', 'rock']"
13562,Tame Impala,Eventually,318591,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']"
13563,The Backseat Lovers,Pool House,209969,"['pov: indie', 'slc indie']"
13564,Hotel Ugly,Shut up My Moms Calling,5781,['modern indie pop']
13565,Lil Wayne,Let It All Work Out,316192,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
13566,Kendrick Lamar,Alright,219333,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13567,Kendrick Lamar,A.D.H.D,215509,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13568,Drake,Childs Play,139622,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
