,artistName,trackName,msPlayed,artist_genres
13701,Kendrick Lamar,GOD.,248826,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13702,Kendrick Lamar,DUCKWORTH.,51905,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13703,Baby Keem,The Hillbillies,125318,"['hip hop', 'rap']"
13704,Baby Keem,STATS,169828,"['hip hop', 'rap']"
13705,Baby Keem,HONEST,172672,"['hip hop', 'rap']"
13706,Baby Keem,INVENTED IT,90240,"['hip hop', 'rap']"
13707,Baby Keem,FRANCE FREESTYLE,145792,"['hip hop', 'rap']"
13708,Baby Keem,BULLIES,194232,"['hip hop', 'rap']"
13709,Baby Keem,MOSHPIT,176353,"['hip hop', 'rap']"
13710,Baby Keem,SLICE INTERLUDE,64288,"['hip hop', 'rap']"
13711,Baby Keem,ROCKSTAR P,136654,"['hip hop', 'rap']"
13712,Baby Keem,TOP RAMEN,130227,"['hip hop', 'rap']"
13713,Baby Keem,MY EX,153727,"['hip hop', 'rap']"
13714,Baby Keem,BUSS HER UP,139042,"['hip hop', 'rap']"
