,Unnamed: 0,trackName,Artist,msPlayed,artist_genres,Track Play Count
4230,4230,#thatPOWER (feat. Justin Bieber),will.i.am,279504,"['dance pop', 'pop']",5
4237,4237,Colorado,Kota the Friend,206500,['underground hip hop'],5
7069,7069,Poison Ivy,Tory Lanez,187924,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",5
7067,7067,Alexa Loves It,Tory Lanez,177609,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",5
32,32,Still Into You,Paramore,216019,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",5
4238,4238,mirrorball,Taylor Swift,208978,['pop'],5
7065,7065,Wilona's Workshop,Tory Lanez,173207,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",5
37,37,Waiting Outside the Lines,Greyson Chance,231573,"['post-teen pop', 'viral pop']",5
4240,4240,mad woman,Taylor Swift,237258,['pop'],5
7062,7062,Last Kiss of Nebulon,Tory Lanez,258667,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",5
66,66,Glory and Gore,Lorde,210738,"['art pop', 'metropopolis', 'nz pop', 'pop']",5
4252,4252,august,Taylor Swift,261923,['pop'],5
78,78,You & I,One Direction,237933,"['boy band', 'pop', 'post-teen pop', 'talent show']",5
7017,7017,Sarah's Place (feat. Noah Kahan),Zach Bryan,214056,['classic oklahoma country'],5
2681,2681,Broken Girls,Gabbie Hanna,180709,['alt z'],5
2682,2682,Broken Boys,Gabbie Hanna,46368,['alt z'],5
7016,7016,Nine Ball,Zach Bryan,169941,['classic oklahoma country'],5
4293,4293,All the Time (feat. Lil Wayne & Natasha Mosley),Jeremih,264200,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",5
2547,2547,Look Back at It,A Boogie wit da Hoodie,179450,"['melodic rap', 'rap', 'trap']",5
6780,6780,tolerate it,Taylor Swift,245440,['pop'],5
4533,4533,Lucky Ass Bitch (with Juicy J),Mac Miller,257332,"['hip hop', 'pittsburgh rap', 'rap']",5
282,282,Perfect,Ed Sheeran,263400,"['pop', 'singer-songwriter pop', 'uk pop']",5
3731,3731,Nightmares Of The Bottom,Lil Wayne,281080,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",5
390,390,Woke the F*ck Up,Jon Bellion,219584,['indie pop rap'],5
392,392,Weight of the World (feat. Blaque Keyz),Jon Bellion,269971,['indie pop rap'],5
2342,2342,The Weekend,SZA,272194,"['pop', 'r&b', 'rap']",5
6638,6638,Man Made A Bar (feat. Eric Church),Morgan Wallen,191231,['contemporary country'],5
4614,4614,Situation,Don Toliver,140964,"['pop rap', 'rap', 'trap']",5
4140,4140,Had Enough,G-Eazy,193441,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",5
6630,6630,Take Me Home (feat. Bebe Rexha),Cash Cash,206320,"['dance pop', 'edm', 'electro house', 'electropowerpop', 'pop dance']",5
2740,2740,Ocean Eyes (Blackbear Remix),Billie Eilish,195307,"['art pop', 'pop']",5
6624,6624,iPHONE,DaBaby & Nicki Minaj,191920,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",5
3348,3348,Exotic,NLE Choppa,165759,"['memphis hip hop', 'rap']",5
416,416,bright pink tims (feat. Cam'ron),blackbear,224022,['pop'],5
2312,2312,"Audio (feat. Sia, Diplo & Labrinth)",LSD,203400,['dance pop'],5
4659,4659,Slow Down,Chase Atlantic,212093,['alternative r&b'],5
3342,3342,Moon & Stars (feat. Maggie Lindemann),$NOT,187587,"['aesthetic rap', 'cloud rap', 'florida rap', 'underground hip hop']",5
6585,6585,Karma,Summer Walker,188907,"['r&b', 'rap']",5
468,468,BITE,Troye Sivan,186053,"['australian pop', 'pop', 'viral pop']",5
470,470,Ease (feat. Broods),Troye Sivan,213706,[],5
471,471,THE QUIET,Troye Sivan,226207,"['australian pop', 'pop', 'viral pop']",5
6571,6571,The Way (feat. Mac Miller),Ariana Grande,227034,['pop'],5
483,483,Blow Your Mind (Mwah),Dua Lipa,178583,"['dance pop', 'pop', 'uk pop']",5
3752,3752,Doubt,twenty one pilots,191486,"['modern rock', 'pop', 'pov: indie', 'rock']",5
3360,3360,Me and My Guitar,A Boogie wit da Hoodie,161765,"['melodic rap', 'rap', 'trap']",5
386,386,All Time Low,Jon Bellion,217603,['indie pop rap'],5
4207,4207,Juice WRLD Speaks from Heaven (Outro),Juice WRLD,30583,"['chicago rap', 'melodic rap', 'rap']",5
2346,2346,ON GOD (feat. Young Thug),Juice WRLD,250272,"['chicago rap', 'melodic rap', 'rap']",5
292,292,Save Myself,Ed Sheeran,247107,"['pop', 'singer-songwriter pop', 'uk pop']",5
6717,6717,How to disappear,Lana Del Rey,228071,"['art pop', 'pop']",5
3699,3699,Fire Squad,J. Cole,288123,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",5
3395,3395,Life Is a Highway (Movie Version Long Intro),Rascal Flatts,276320,"['contemporary country', 'country', 'country road']",5
6698,6698,How You Get the Girl,Taylor Swift,247533,['pop'],5
311,311,Can't Have Everything,Drake,228438,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",5
4548,4548,Fireside,Bryce Vine,206267,['indie pop rap'],5
4562,4562,Why Georgia,John Mayer,268973,"['neo mellow', 'singer-songwriter']",5
6668,6668,Good Girl Gone Missin’,Morgan Wallen,175031,['contemporary country'],5
